description,redirect_url,adref,title,salary_min,__CLASS__,salary_max,latitude,salary_is_predicted,created,id,longitude,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"Safety-Kleen Fresno, CA is looking for a Utility Driver/Driver Lead to join their team! The Utility Driver provides primary route coverage for the assigned district as well as other districts as needed to support vacation, sick time, and turnover. Why work for Safety-Kleen ? Health and Safety is our 1 priority, and we live it 3-6-5! Competitive wages Comprehensive health benefits coverage after 30 days of full-time employment Group 401K with company matching component. Own part of the company w…",https://www.adzuna.com/land/ad/5835657690?se=vop8CceU8RGndKUdF18weA&utm_medium=api&utm_source=abfa41a4&v=1A2D944A6F594916D09B5995BDF2107E3200FD68,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidm9wOENjZVU4UkduZEtVZEYxOHdlQSIsImkiOiI1ODM1NjU3NjkwIn0.Mc0YYPe-w_EMh6uPtP34MMzaTLlwDRW3SONbCUKCjys,CDL Lead Driver,87653.3,Adzuna::API::Response::Job,87653.3,36.791884,1,2026-08-10T10:08:58Z,5835657690,-119.830046,Safety-Kleen,Adzuna::API::Response::Company,"Fresno, Fresno County",Adzuna::API::Response::Location,"['US', 'California', 'Fresno County', 'Fresno']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657688?se=vop8CceU8RGndKUdF18weA&utm_medium=api&utm_source=abfa41a4&v=56F73F6DC1DF66E8B959FE8694C6B402E66FDD56,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidm9wOENjZVU4UkduZEtVZEYxOHdlQSIsImkiOiI1ODM1NjU3Njg4In0.ZLCYeYbsbIjltb8gQksjAA7wmbHLtEWf4x2ohJerdR8,Pharmacist-Sign-On Bonus Available,82351.37,Adzuna::API::Response::Job,82351.37,32.7479,1,2026-08-10T10:08:58Z,5835657688,-80.03448,Walgreens,Adzuna::API::Response::Company,"Johns Island, Charleston County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Charleston County', 'Johns Island']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Join a team that delivers excellence. Lehigh Valley Health Network (LVHN) is home to nearly 23,000 colleagues who make up our talented, vibrant and diverse workforce. Join our team and experience firsthand what it's like to be part of a healthcare organization that's nationally recognized, forward-thinking and offers plenty of opportunity to do great work. Imagine a career at one of the nation's most advanced health networks. Be part of an exceptional health care experience. Join the inspired, …",https://www.adzuna.com/land/ad/5835657684?se=vop8CceU8RGndKUdF18weA&utm_medium=api&utm_source=abfa41a4&v=0DA41CA65E111A9D348B813C9E0420A64C594513,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidm9wOENjZVU4UkduZEtVZEYxOHdlQSIsImkiOiI1ODM1NjU3Njg0In0.LD6rn1MRSX0ljO0nSMGhL2DrdgatiYlS8Hd1zsynXWw,Registered Nurse - Weekend Day,107768.21,Adzuna::API::Response::Job,107768.21,40.652129,1,2026-08-10T10:08:57Z,5835657684,-75.466619,Lehigh Valley Health Network,Adzuna::API::Response::Company,"Catasauqua, Lehigh County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lehigh County', 'Catasauqua']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Join a team that delivers excellence. Lehigh Valley Health Network (LVHN) is home to nearly 23,000 colleagues who make up our talented, vibrant and diverse workforce. Join our team and experience firsthand what it's like to be part of a healthcare organization that's nationally recognized, forward-thinking and offers plenty of opportunity to do great work. Imagine a career at one of the nation's most advanced health networks. Be part of an exceptional health care experience. Join the inspired, …",https://www.adzuna.com/land/ad/5835657683?se=vop8CceU8RGndKUdF18weA&utm_medium=api&utm_source=abfa41a4&v=DE84D764B6608FAEE4BFF8587B484DB0F49585BD,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY4MyIsInMiOiJ2b3A4Q2NlVThSR25kS1VkRjE4d2VBIn0.hjfGhNw4iIlM62rfMyNp29oeITwmArzshR1rZKKMaVI,Registered Nurse Med-Surg - Full Time/Part Time Days and Nights,135877.83,Adzuna::API::Response::Job,135877.83,40.581686,1,2026-08-10T10:08:57Z,5835657683,-75.333401,Lehigh Valley Health Network,Adzuna::API::Response::Company,"Hellertown, Northampton County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Northampton County', 'Hellertown']",part-time-jobs,Adzuna::API::Response::Category,Part time Jobs,part_time,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657686?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=39E8993D8E6A5E33F75EFD7D7AE931DB06561C19,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY4NiIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.KbuVW8JAO0_GKlTw2J2MMzj1HXMLfbijiOMme9pfjPQ,Pharmacist-Sign-On Bonus Available,82281.74,Adzuna::API::Response::Job,82281.74,34.190161,1,2026-08-10T10:08:57Z,5835657686,-82.15282,Walgreens,Adzuna::API::Response::Company,"Greenwood, Greenwood County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Greenwood County', 'Greenwood']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Clean Harbors in Fort Wayne, IN is seeking a Class A CDL Equipment Operator to operate a variety of heavy and light duty trucks/work equipment at our customer sites; some of the vehicles operated include vacuum trucks, Cuscos, guzzlers, and roll offs. This role is responsible for performing driving and non-driving duties on and off customer sites associated with hazardous waste clean-up. Hazmat and Tanker endorsements preferred, no automatic restriction Typically Monday through Friday schedule,…",https://www.adzuna.com/land/ad/5835657676?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=C53A45C7517E1016670475092DBBA2106F470809,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY3NiIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.x66T7U6okS7LgIcprsB3h5fASlk_u9dA4WIvQKvTerU,Class A CDL Equipment Operator,52558.46,Adzuna::API::Response::Job,52558.46,40.99655,1,2026-08-10T10:08:56Z,5835657676,-85.237225,Clean Harbors,Adzuna::API::Response::Company,"Waynedale, Allen County",Adzuna::API::Response::Location,"['US', 'Indiana', 'Allen County', 'Waynedale']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
"Join a team that delivers excellence. Lehigh Valley Health Network (LVHN) is home to nearly 23,000 colleagues who make up our talented, vibrant and diverse workforce. Join our team and experience firsthand what it's like to be part of a healthcare organization that's nationally recognized, forward-thinking and offers plenty of opportunity to do great work. Imagine a career at one of the nation's most advanced health networks. Be part of an exceptional health care experience. Join the inspired, …",https://www.adzuna.com/land/ad/5835657678?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=BF983D9546B5BF69152B6EAE9E02B6DB30764FF6,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY3OCIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.IGwq_G0-aiLrKSCtTQTGTRCG2YZ0PoFcjZBjW1ztH9Y,Registered Nurse Med-Surg - Full Time/Part Time Days and Nights,80586.83,Adzuna::API::Response::Job,80586.83,40.541791,1,2026-08-10T10:08:56Z,5835657678,-75.407261,Lehigh Valley Health Network,Adzuna::API::Response::Company,"Center Valley, Lehigh County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lehigh County', 'Center Valley']",part-time-jobs,Adzuna::API::Response::Category,Part time Jobs,part_time,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657672?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=CE7A6044EC1904E26738755608148B1AAD2C5219,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjcyIn0.ZcHjstlQQJSHn12NO7fTswM3LB10hCgauzw4_12O_MY,Pharmacist-Sign-On Bonus Available,83823.82,Adzuna::API::Response::Job,83823.82,33.838576,1,2026-08-10T10:08:55Z,5835657672,-79.06091,Walgreens,Adzuna::API::Response::Company,"Conway, Horry County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Horry County', 'Conway']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657669?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=BD759E67A808738AB97633E2BE6D68F4E75A0550,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY2OSIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.vWxr6SXLJL6l0dvOmkTjxE9TcGYIMegZ5dl_QRB_64Q,Pharmacist,205540.52,Adzuna::API::Response::Job,205540.52,34.990126,1,2026-08-10T10:08:54Z,5835657669,-81.95602,Walgreens,Adzuna::API::Response::Company,"Boiling Springs, Spartanburg County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Spartanburg County', 'Boiling Springs']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"At UniFirst, we Always Deliver —for our customers and our people. As a Route Service Representative (RSR), you’ll be the face of UniFirst to our customers, building strong relationships and ensuring their needs are met with reliability, professionalism, and care. This is a dynamic role for someone who enjoys being on the move, engaging with customers, and taking ownership of their route. You’ll manage deliveries and pickups, grow your customer accounts, and work independently while representing…",https://www.adzuna.com/land/ad/5835657664?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=67910DFEA73003B36572F3C805A28ACC7B260BAE,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY2NCIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.Le3mwYENVnl3mvGsKzzHpp--6ZU3-Mahu86i7mj-GWc,Route Service Representative - UniFirst,52702.91,Adzuna::API::Response::Job,52702.91,37.24478,1,2026-08-10T10:08:53Z,5835657664,-93.296395,UniFirst,Adzuna::API::Response::Company,"Springfield, Greene County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Greene County', 'Springfield']",customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,,
"Job Title: Oracle Field Service Cloud Functional (OFSC) Location: Irving, TX Duration: Long-Term Contract Position Overview We are seeking an Oracle Field Service Cloud (OFSC) Functional Consultant for a long-term utility infrastructure project. You will configure, optimize, and support field operations and scheduling workflows. Key Responsibilities · Configure Oracle Field Service routing, capacity, and scheduling algorithms. · Design workflows for field crews, outages, and asset inspections. …",https://www.adzuna.com/land/ad/5835657657?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=2220D828046EBA740642D5716EBDAAE530EED8EA,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY1NyIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.RM1d9C5HY07uvG9WkqGN0GnHIf36DWze0XRLTgNrvhA,Oracle Field Service Cloud (OFSC) Functional,95026.33,Adzuna::API::Response::Job,95026.33,,1,2026-08-10T10:08:52Z,5835657657,,TSQ Systems Inc,Adzuna::API::Response::Company,US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657659?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=424133C1036E504E7C83EA2051BB510FE25EC9E6,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY1OSIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.AeX4L_ld7zKqhnlB2TirqjZ-X0J_nQW-D2TFSfzFRgY,Pharmacist-Sign-On Bonus Available,81054.77,Adzuna::API::Response::Job,81054.77,34.90598,1,2026-08-10T10:08:52Z,5835657659,-82.713657,Walgreens,Adzuna::API::Response::Company,"Pickens, Pickens County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Pickens County', 'Pickens']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Job Title: QA Automation with (Selenium/JavaScript & Playwright/TypeScript) exp Location: Dallas, TX (Onsite) Duration: Long Term Openings: 10 Positions Description: We are looking for QA Automation Engineers to support multiple long-term onsite opportunities in Dallas, TX. We have openings for two related QA automation roles: Position 1: QA Automation Engineer – Selenium & JavaScript Strong experience with Selenium automation and JavaScript. Ability to design, build, and maintain automation fr…",https://www.adzuna.com/land/ad/5835657656?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=D4EC3AD549D16734C0F1E42B1B29C10C323BDCAB,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjU2In0.9rPVKe4ZVnzvCkTQ75ANh832dGGS0wxd5tDc6Eozhf0,Test Automation / SDET,61068.68,Adzuna::API::Response::Job,61068.68,32.760168,1,2026-08-10T10:08:52Z,5835657656,-96.765058,TSQ Systems Inc,Adzuna::API::Response::Company,"Highland Park, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Highland Park']",it-jobs,Adzuna::API::Response::Category,IT Jobs,,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657651?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=C31F5152ACB4AA824A0747C762EB5B35A14E8CC9,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjUxIn0.mWBtSnguVyaBsNRbrf1G7Kn1NfQzUelX-UlCOk03Kb0,Pharmacist Sign-On Bonus and Relocation Available,177527.31,Adzuna::API::Response::Job,177527.31,34.497192,1,2026-08-10T10:08:51Z,5835657651,-82.657924,Walgreens,Adzuna::API::Response::Company,"Anderson, Anderson County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Anderson County', 'Anderson']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Join a team that delivers excellence. Lehigh Valley Health Network (LVHN) is home to nearly 23,000 colleagues who make up our talented, vibrant and diverse workforce. Join our team and experience firsthand what it's like to be part of a healthcare organization that's nationally recognized, forward-thinking and offers plenty of opportunity to do great work. Imagine a career at one of the nation's most advanced health networks. Be part of an exceptional health care experience. Join the inspired, …",https://www.adzuna.com/land/ad/5835657645?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=A93C325BF2B14B6D448F7E365CB12DA9A30BFF1C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjQ1In0.yJmsLo8jjq9v5rMpKfTwjFVmldVRZ1Lhav0B98OjD5I,Registered Nurse - Lehigh Valley Health Network,227999.8,Adzuna::API::Response::Job,227999.8,40.581686,1,2026-08-10T10:08:50Z,5835657645,-75.333401,Lehigh Valley Health Network,Adzuna::API::Response::Company,"Hellertown, Northampton County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Northampton County', 'Hellertown']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657644?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=53AFBB0E877ECFF73A42A3CED5864148CBBD6C4E,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjQ0In0.2wcP46d7CUSgn-LqN4b4RwJH9tY_2huMXGlxO4mQN1M,Pharmacist-Sign-On Bonus Available,90627.9,Adzuna::API::Response::Job,90627.9,34.778421,1,2026-08-10T10:08:49Z,5835657644,-82.234965,Walgreens,Adzuna::API::Response::Company,"Mauldin, Greenville County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Greenville County', 'Mauldin']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"This position is responsible for delivering products to customers from Sherwin-Williams stores using box and flat-bed trucks. Drivers ensure deliveries are complete, packed correctly, and safely delivered to the correct customer. Drivers are accountable for customer satisfaction and for transporting items in a safe, timely manner. The individual selected for this part-time role will be expected to work at Store 7220, located at: 1315 Northpark Dr. Kingwood TX 77339 Job duties involve contact wi…",https://www.adzuna.com/land/ad/5835657643?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=AE0C5B7C692FBA1E06990210D2BC898F06382215,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY0MyIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.fUkDR9wxE1CigEPqBeARTd86de4pTLlshxicf_MiNgY,Delivery Driver II,63380.19,Adzuna::API::Response::Job,63380.19,30.056236,1,2026-08-10T10:08:49Z,5835657643,-95.212877,Sherwin-Williams,Adzuna::API::Response::Company,"Kingwood, Houston",Adzuna::API::Response::Location,"['US', 'Texas', 'Harris County', 'Houston', 'Kingwood']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,part_time,
"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5835657641?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=013E6BB2E65AE802B37ECF7BC09427F6939D16C1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjQxIn0.LwHfQCZbTjfS1e1G3Wyj0CYxexK5AQ6YtzCyezt-moE,Pharmacist,157965.48,Adzuna::API::Response::Job,157965.48,34.623664,1,2026-08-10T10:08:47Z,5835657641,-82.519388,Walgreens,Adzuna::API::Response::Company,"Williamston, Anderson County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Anderson County', 'Williamston']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Clean Harbors in Cincinnati, OH is seeking a Class B CDL Driver to operate light and heavy-duty trucks/work equipment at our customer sites; some of the vehicles operated include Vacuum Trailer, roll-off trailers, van trailers, box trucks and high-powered vacuum loaders. This role is responsible for performing driving and non-driving duties on and off customer sites associated with hazardous waste clean-up. Clean Harbors is the leading provider of environmental, energy and industrial services t…",https://www.adzuna.com/land/ad/5835657637?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=47CFC2FD11ADA136952F79AF0E7F7654957A6164,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjM3In0.-wC8e-c8Tz8z1GF2sAlryarpoxn2W0Xq2rICIqUlXnQ,Driver Class B,37025.05,Adzuna::API::Response::Job,37025.05,39.1303,1,2026-08-10T10:08:47Z,5835657637,-84.51557,Clean Harbors,Adzuna::API::Response::Company,"Mt Auburn, Hamilton County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Hamilton County', 'Mt Auburn']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
"The Roll-Off Driver will be responsible for safely, efficiently, and courteously providing waste removal services to customers across multiple lines of businesses. The CDL Driver will collect waste from customer sites and transport to post-collection facilities for proper disposal. Key Responsibilities: • Operate roll-off truck and ancillary equipment to collect waste. • Complete pre-trip and post-trip safety lane inspections and reports, daily truck report, route sheets and other documentation…",https://www.adzuna.com/land/ad/5835657640?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=F78656FD40876EEC5C90EAA0259D350FE4627CC6,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1NzY0MCIsInMiOiJjdmh0Q3NlVThSR2Q4djVmY3lCcFB3In0.cY-w2MnesjQNePXrJEWrROb9XsD2V_5LC90PvjJPg3Q,Driver - Roll Off,79316.49,Adzuna::API::Response::Job,79316.49,36.59045,1,2026-08-10T10:08:47Z,5835657640,-87.39761,GFL Environmental,Adzuna::API::Response::Company,"Sango, Montgomery County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Montgomery County', 'Sango']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"Safety-Kleen Independence, MO is looking for a Local Class B Route Driver to join their safety conscious team! As a Local Class B Route Driver you will be responsible for pickup of waste oil and anti-freeze at customer locations such as garages, automotive dealerships, quick change oil companies, fleet maintenance facilities, bus companies, airports and rental car companies. Why work for Safety-Kleen? Health and Safety is our 1 priority and we live it 3-6-5! Competitive wages ($25-$26 an hour b…",https://www.adzuna.com/land/ad/5835657636?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=90045BE395D1B2C6876E91B1D5C1663CD8B225A6,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjM2In0.-S-aEdomZ_iWPTnc0-8NDtDPgOaHMa3n-tPZ4J91ws8,Class B Route Driver,73013.91,Adzuna::API::Response::Job,73013.91,39.10986,1,2026-08-10T10:08:46Z,5835657636,-94.43952,Safety-Kleen,Adzuna::API::Response::Company,"Independence, Jackson County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Jackson County', 'Independence']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
"Clean Harbors in Hampden ME is seeking a Class B - CDL Driver (Hazmat) to operate light and heavy-duty trucks/work equipment at our customer sites; some of the vehicles operated include Vacuum Trailer, roll-off trailers, van trailers, box trucks and high-powered vacuum loaders. This role is responsible for performing driving and non-driving duties on and off customer sites associated with hazardous waste clean-up. Clean Harbors is the leading provider of environmental, energy and industrial ser…",https://www.adzuna.com/land/ad/5835657635?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=624F2047C3D7F498960B564B173E8F9709FBCD45,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjM1In0.xWqHWbm7nZZtNw_CWhvtiLEHTXKCh1CdEGTJCmz5HYs,CDL Driver Class B (Hazmat),61675.56,Adzuna::API::Response::Job,61675.56,44.826729,1,2026-08-10T10:08:46Z,5835657635,-68.802987,Clean Harbors,Adzuna::API::Response::Company,"Bangor, Penobscot County",Adzuna::API::Response::Location,"['US', 'Maine', 'Penobscot County', 'Bangor']",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
"Safety-Kleen in Garden City, GA is seeking a Sales and Service Route Driver. This role will drive a Class B box truck to provide onsite service for parts washer machines, pick up containerized hazardous waste, and sell products/services in a defined route. $3,000 sign-on bonus, distributed throughout the first year of employment.* Safety-Kleen, a subsidiary of Clean Harbors is the leading provider of environmental, energy and industrial services throughout the United States, Canada, Mexico and …",https://www.adzuna.com/land/ad/5835657632?se=cvhtCseU8RGd8v5fcyBpPw&utm_medium=api&utm_source=abfa41a4&v=85CE3493E2394850AD900708FA2EE873F621310B,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY3ZodENzZVU4UkdkOHY1ZmN5QnBQdyIsImkiOiI1ODM1NjU3NjMyIn0.nJ-9IKIokocQrDTi6pQldGOz9pxPAKBrS5a2nmuhwVQ,"Local Class B Route Driver - $3,000 Sign-On Bonus",63336.21,Adzuna::API::Response::Job,63336.21,32.07708,1,2026-08-10T10:08:45Z,5835657632,-81.0927,Safety-Kleen,Adzuna::API::Response::Company,"Savannah, Chatham County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Chatham County', 'Savannah']",energy-oil-gas-jobs,Adzuna::API::Response::Category,"Energy, Oil & Gas Jobs",full_time,
